resort,name,osm_difficulty,reason
Vail,,novice,missing_name
Vail,,intermediate,missing_name
Vail,38,advanced,numeric_or_artifact_name
Vail,Vail Village Catwalk - Middle,easy,duplicate_within_resort
Vail,Wow,advanced,duplicate_within_resort
Vail,Born Free,easy,duplicate_within_resort
Vail,Simba,intermediate,duplicate_within_resort
Vail,Bear Tree,intermediate,duplicate_within_resort
Vail,,novice,missing_name
Vail,Game Trail,easy,duplicate_within_resort
Vail,Wild Card,advanced,duplicate_within_resort
Vail,Boomer,easy,duplicate_within_resort
Vail,,intermediate,missing_name
Vail,Born Free,intermediate,duplicate_within_resort
Vail,,novice,missing_name
Vail,Sleepytime Road,intermediate,duplicate_within_resort
Vail,Ramshorn,intermediate,duplicate_within_resort
Vail,Sleepytime Road,intermediate,duplicate_within_resort
Vail,Tin Pants,easy,duplicate_within_resort
Vail,Windows Road,advanced,duplicate_within_resort
Vail,,intermediate,missing_name
Vail,Bolshoi Ballroom,advanced,duplicate_within_resort
Vail,Chaos Canyon,intermediate,duplicate_within_resort
Vail,Inner Mongolia Bowl,advanced,duplicate_within_resort
Vail,Kangaroo Cornice,advanced,duplicate_within_resort
Beaver Creek,Roughlock,intermediate,duplicate_within_resort
Beaver Creek,,intermediate,missing_name
Beaver Creek,,missing,missing_name
Beaver Creek,1876,intermediate,numeric_or_artifact_name
Beaver Creek,Roughlock,intermediate,duplicate_within_resort
Beaver Creek,Everkrisp,easy,duplicate_within_resort
Beaver Creek,Powell,easy,duplicate_within_resort
Beaver Creek,,missing,missing_name
Beaver Creek,,missing,missing_name
Beaver Creek,Ridge Runner,intermediate,duplicate_within_resort
Beaver Creek,,easy,missing_name
Beaver Creek,Everkrisp,easy,duplicate_within_resort
Beaver Creek,,advanced,missing_name
Beaver Creek,Roughlock,intermediate,duplicate_within_resort
Beaver Creek,Roughlock,intermediate,duplicate_within_resort
Beaver Creek,,easy,missing_name
Beaver Creek,Ridge Runner,intermediate,duplicate_within_resort
Beaver Creek,Cinch-Lower,easy,duplicate_within_resort
Beaver Creek,,advanced,missing_name
Beaver Creek,,missing,missing_name
Beaver Creek,,missing,missing_name
Beaver Creek,Latigo-Lower,intermediate,duplicate_within_resort
Beaver Creek,Primrose,easy,duplicate_within_resort
Beaver Creek,Dally,easy,duplicate_within_resort
Beaver Creek,Everkrisp,easy,duplicate_within_resort
Beaver Creek,,missing,missing_name
Beaver Creek,Intertwine,easy,duplicate_within_resort
Beaver Creek,,advanced,missing_name
Beaver Creek,Intertwine,easy,duplicate_within_resort
Beaver Creek,Leave the Beav,easy,duplicate_within_resort
Beaver Creek,Bitterroot,intermediate,duplicate_within_resort
Beaver Creek,Everkrisp,easy,duplicate_within_resort
Beaver Creek,Roughlock,intermediate,duplicate_within_resort
Beaver Creek,Roughlock,intermediate,duplicate_within_resort
Breckenridge,,intermediate,missing_name
Breckenridge,,easy,missing_name
Breckenridge,,easy,missing_name
Breckenridge,Beaver Meadows,intermediate,duplicate_within_resort
Breckenridge,Troll Forest,easy,duplicate_within_resort
Breckenridge,needles eye,expert,duplicate_within_resort
Breckenridge,Cool Whip,intermediate,duplicate_within_resort
Breckenridge,,intermediate,missing_name
Breckenridge,Morning Glory,intermediate,duplicate_within_resort
Breckenridge,Shock Hill,advanced,duplicate_within_resort
Breckenridge,"Cool Whip, Willow",intermediate,duplicate_within_resort
Breckenridge,Lower Sawmill,easy,duplicate_within_resort
Breckenridge,Beaver Meadows,intermediate,duplicate_within_resort
Breckenridge,Get Away,advanced,duplicate_within_resort
Breckenridge,Gluteus Maximus,intermediate,duplicate_within_resort
Breckenridge,,easy,missing_name
Breckenridge,,intermediate,missing_name
Breckenridge,Lower Sawmill,easy,duplicate_within_resort
Breckenridge,Troll Forest,easy,duplicate_within_resort
Breckenridge,Peak 6 Parkway,intermediate,duplicate_within_resort
Breckenridge,Beaver Meadows,intermediate,duplicate_within_resort
Breckenridge,Troll Forest,easy,duplicate_within_resort
Breckenridge,"Shock Hill, Pence Miller",advanced,duplicate_within_resort
Breckenridge,Claimjumper,intermediate,duplicate_within_resort
Breckenridge,"Shock Hill, Pence Miller",advanced,duplicate_within_resort
Breckenridge,Get Away,advanced,duplicate_within_resort
Breckenridge,Claimjumper,intermediate,duplicate_within_resort
Breckenridge,,intermediate,missing_name
Breckenridge,Wirepatch,intermediate,duplicate_within_resort
Breckenridge,Columbine,intermediate,duplicate_within_resort
Breckenridge,Eldorado Terrain Park,missing,unmappable_difficulty:missing
Breckenridge,Sawmill,easy,duplicate_within_resort
Breckenridge,"Troll Forest, Little Red's Run",intermediate,duplicate_within_resort
Breckenridge,Cimarron,advanced,duplicate_within_resort
Breckenridge,New Nordic World,intermediate,duplicate_within_resort
Breckenridge,union,intermediate,duplicate_within_resort
Breckenridge,Wirepatch,intermediate,duplicate_within_resort
Breckenridge,Lowest 4 O'Clock,easy,duplicate_within_resort
